,date,home_team,score,away_team,season
0,11-08-2017,Arsenal,4 - 3,Leicester,17/18
1,19-08-2017,Stoke,1 - 0,Arsenal,17/18
2,27-08-2017,Liverpool,4 - 0,Arsenal,17/18
3,09-09-2017,Arsenal,3 - 0,Bournemouth,17/18
4,17-09-2017,Chelsea,0 - 0,Arsenal,17/18
5,25-09-2017,Arsenal,2 - 0,West Brom,17/18
6,01-10-2017,Arsenal,2 - 0,Brighton,17/18
7,14-10-2017,Watford,2 - 1,Arsenal,17/18
8,22-10-2017,Everton,2 - 5,Arsenal,17/18
9,28-10-2017,Arsenal,2 - 1,Swansea,17/18
10,05-11-2017,Man City,3 - 1,Arsenal,17/18
11,18-11-2017,Arsenal,2 - 0,Tottenham,17/18
12,26-11-2017,Burnley,0 - 1,Arsenal,17/18
13,29-11-2017,Arsenal,5 - 0,Huddersfield,17/18
14,02-12-2017,Arsenal,1 - 3,Man United,17/18
15,10-12-2017,Southampton,1 - 1,Arsenal,17/18
16,13-12-2017,West Ham,0 - 0,Arsenal,17/18
17,16-12-2017,Arsenal,1 - 0,Newcastle,17/18
18,22-12-2017,Arsenal,3 - 3,Liverpool,17/18
19,28-12-2017,Crystal Palace,2 - 3,Arsenal,17/18
20,31-12-2017,West Brom,1 - 1,Arsenal,17/18
21,03-01-2018,Arsenal,2 - 2,Chelsea,17/18
22,14-01-2018,Bournemouth,2 - 1,Arsenal,17/18
23,20-01-2018,Arsenal,4 - 1,Crystal Palace,17/18
24,30-01-2018,Swansea,3 - 1,Arsenal,17/18
25,03-02-2018,Arsenal,5 - 1,Everton,17/18
26,10-02-2018,Tottenham,1 - 0,Arsenal,17/18
27,01-03-2018,Arsenal,0 - 3,Man City,17/18
28,04-03-2018,Brighton,2 - 1,Arsenal,17/18
29,11-03-2018,Arsenal,3 - 0,Watford,17/18
30,01-04-2018,Arsenal,3 - 0,Stoke,17/18
31,08-04-2018,Arsenal,3 - 2,Southampton,17/18
32,15-04-2018,Newcastle,2 - 1,Arsenal,17/18
33,22-04-2018,Arsenal,4 - 1,West Ham,17/18
34,29-04-2018,Man United,2 - 1,Arsenal,17/18
35,06-05-2018,Arsenal,5 - 0,Burnley,17/18
36,09-05-2018,Leicester,3 - 1,Arsenal,17/18
37,13-05-2018,Huddersfield,0 - 1,Arsenal,17/18
38,12-08-2017,West Brom,1 - 0,Bournemouth,17/18
39,19-08-2017,Bournemouth,0 - 2,Watford,17/18
40,26-08-2017,Bournemouth,1 - 2,Man City,17/18
41,09-09-2017,Arsenal,3 - 0,Bournemouth,17/18
42,15-09-2017,Bournemouth,2 - 1,Brighton,17/18
43,23-09-2017,Everton,2 - 1,Bournemouth,17/18
44,30-09-2017,Bournemouth,0 - 0,Leicester,17/18
