,date,home_team,score,away_team,season
0,18-08-2017,Leganes,1 - 0,Alaves,17/18
1,26-08-2017,Alaves,0 - 2,Barcelona,17/18
2,10-09-2017,Celta,1 - 0,Alaves,17/18
3,17-09-2017,Alaves,0 - 3,Villarreal,17/18
4,20-09-2017,La Coruna,1 - 0,Alaves,17/18
5,23-09-2017,Alaves,1 - 2,Real Madrid,17/18
6,30-09-2017,Levante,0 - 2,Alaves,17/18
7,14-10-2017,Alaves,0 - 2,Sociedad,17/18
8,21-10-2017,Betis,2 - 0,Alaves,17/18
9,28-10-2017,Alaves,1 - 2,Valencia,17/18
10,04-11-2017,Alaves,1 - 0,Espanol,17/18
11,18-11-2017,Getafe,4 - 1,Alaves,17/18
12,25-11-2017,Alaves,1 - 2,Eibar,17/18
13,04-12-2017,Girona,2 - 3,Alaves,17/18
14,08-12-2017,Alaves,2 - 0,Las Palmas,17/18
15,16-12-2017,Ath Madrid,1 - 0,Alaves,17/18
16,21-12-2017,Alaves,1 - 0,Malaga,17/18
17,07-01-2018,Ath Bilbao,2 - 0,Alaves,17/18
18,14-01-2018,Alaves,1 - 0,Sevilla,17/18
19,21-01-2018,Alaves,2 - 2,Leganes,17/18
20,28-01-2018,Barcelona,2 - 1,Alaves,17/18
21,03-02-2018,Alaves,2 - 1,Celta,17/18
22,10-02-2018,Villarreal,1 - 2,Alaves,17/18
23,17-02-2018,Alaves,1 - 0,La Coruna,17/18
24,24-02-2018,Real Madrid,4 - 0,Alaves,17/18
25,01-03-2018,Alaves,1 - 0,Levante,17/18
26,04-03-2018,Sociedad,2 - 1,Alaves,17/18
27,12-03-2018,Alaves,1 - 3,Betis,17/18
28,17-03-2018,Valencia,3 - 1,Alaves,17/18
29,01-04-2018,Espanol,0 - 0,Alaves,17/18
30,07-04-2018,Alaves,2 - 0,Getafe,17/18
31,15-04-2018,Eibar,0 - 1,Alaves,17/18
32,19-04-2018,Alaves,1 - 2,Girona,17/18
33,22-04-2018,Las Palmas,0 - 4,Alaves,17/18
34,29-04-2018,Alaves,0 - 1,Ath Madrid,17/18
35,06-05-2018,Malaga,0 - 3,Alaves,17/18
36,12-05-2018,Alaves,3 - 1,Ath Bilbao,17/18
37,19-05-2018,Sevilla,1 - 0,Alaves,17/18
38,20-08-2017,Ath Bilbao,0 - 0,Getafe,17/18
